id,name,published,meta_description
1,"Horgenglarus – 1-380 Classic",ja,"Der klassische Stuhl 1-380 von horgenglarus aus massivem Holz – Schweizer Stuhlbau-Tradition, zeitlos, robust und bequem. Jetzt bei Hobel."
2,"Single + in Ahorn",ja,"Single + in Ahorn: kompakter Ausziehtisch für kleine Räume. Mit drei Handgriffen verdoppelt er sich und bietet Platz für sechs Personen."
3,"Tablett – Nussbaum / Schwarz",ja,"Serviertablett aus Nussbaum mit schwarzem Linoleum, entworfen von Stefan Zwicky. Vielseitig als Tablett oder Beistelltisch nutzbar. Bei Hobel."
4,"Horgenglarus – Péclard Hocker – 11-020",ja,"Péclard Hocker 11-020 von horgenglarus – stabiler Massivholz-Hocker aus Schweizer Produktion. Schlicht, solide und vielseitig einsetzbar."
5,"Horgenglarus – Lyra Esprit 6-550",ja,"Lyra Esprit 6-550 von horgenglarus: eleganter Massivholzstuhl aus Schweizer Stuhlbau-Tradition. Zeitloses Design für Esszimmer und Gastronomie."
6,"Horgenglarus – Lyra Mandarin 6-540a",ja,"Lyra Mandarin 6-540a von horgenglarus – gepolsterter Armlehnstuhl aus Massivholz. Komfortables Sitzen mit klassischer Schweizer Handwerkskunst."
7,"Horgenglarus – Moser 1-256",ja,"Moser 1-256 von horgenglarus: Schweizer Designklassiker aus massivem Holz. Reduzierte Form, höchste Verarbeitung – jetzt bei Hobel."
8,"Horgenglarus – Safran 1-180",ja,"Safran 1-180 von horgenglarus – leichter, stapelbarer Massivholzstuhl. Schweizer Stuhlbau-Tradition für Küche, Esszimmer und Gastronomie."
9,"Horgenglarus – Select 1-370",ja,"Select 1-370 von horgenglarus: zeitloser Massivholzstuhl aus Schweizer Produktion. Klare Linien, solide Verarbeitung – jetzt bei Hobel."
10,"Horgenglarus – Esposito 8-360",ja,"Esposito 8-360 von horgenglarus – eleganter Massivholzstuhl mit feiner Linienführung. Schweizer Stuhlbau-Tradition, jetzt bei Hobel."
11,"Horgenglarus – GA Stuhl 7-070",ja,"GA Stuhl 7-070 von horgenglarus: Designklassiker aus massivem Holz. Schweizer Handwerkskunst und zeitlose Eleganz für jedes Esszimmer."
